site_id,latitude,longitude
MABI1001,43.62993,-72.5239
MABI1201,43.63027,-72.5362
MABI1205,43.63039,-72.5456
MABI1002,43.63218,-72.5238
MABI1003,43.63224,-72.5269
MABI1004,43.63231,-72.53
MABI1005,43.63238,-72.5331
MABI1006,43.63244,-72.5362
MABI1204,43.63249,-72.5454
MABI1202,43.63251,-72.5393
MABI1203,43.63258,-72.5424
MABI1010,43.63442,-72.5237
MABI1009,43.63449,-72.5268
MABI1008,43.63456,-72.5299
MABI1007,43.63463,-72.533
MABI1102,43.63476,-72.5392
MABI1101,43.63489,-72.5454
MABI1109,43.63496,-72.5485
MABI1103,43.63694,-72.536
MABI1104,43.63701,-72.5391
MABI1105,43.63707,-72.5422
MABI1106,43.63714,-72.5453
MABI1108,43.63721,-72.5484
MABI1110,43.63727,-72.5515
MABI1107,43.63939,-72.5452
HBEFV150,43.91674404,-71.76535204
HBEFV181,43.91840299,-71.77036098
HBEFV111,43.91923003,-71.75908397
HBEFV180,43.92022798,-71.76991004
HBEFV108,43.92285001,-71.75338
HBEFV146,43.92318998,-71.76520896
HBEFV139,43.92325996,-71.75935303
HBEFV338,43.94300002,-71.70999996
HBEFV007,43.94393812,-71.74140779
HBEFV335,43.94544099,-71.71665201
HBEFV339,43.94556,-71.71042
HBEFV009,43.94663609,-71.74153185
HBEFV340,43.94666,-71.71049
HBEFV334,43.94729,-71.7167
HBEFV308,43.94903,-71.73501
HBEFV011,43.94933,-71.74165
HBEFV331,43.95100197,-71.71664103
HBEFV013,43.95203,-71.74178
HBEFV344,43.953,-71.711
HBEFV346,43.953,-71.704
HBEFV015,43.95473,-71.7419
HBEFV072,43.955,-71.748
HBEFV102,43.95817763,-71.74829462
HBEFV075,43.95818,-71.74829
ACAD3403,44.278588,-68.345473
ACAD3301,44.281045,-68.36942
ACAD3401,44.282847,-68.345701
ACAD3302,44.283341,-68.369458
ACAD3303,44.285726,-68.369369
ACAD3304,44.287851,-68.369372
ACAD3501,44.290172,-68.38059
ACAD3503,44.292304,-68.383651
ACAD3504,44.292393,-68.386796
ACAD4201,44.30407,-68.334
ACAD4202,44.30453,-68.33681
ACAD4001,44.334611,-68.19725
ACAD4002,44.336333,-68.198778
ACAD4006,44.33655,-68.18009
ACAD4007,44.33746,-68.18467
ACAD3106,44.348536,-68.28599
ACAD4004,44.34953,-68.20605
ACAD3101,44.350905,-68.292071
ACAD3102,44.353201,-68.292127
ACAD4005,44.35779,-68.20123
ACAD3005,44.366672,-68.070179
ACAD3002,44.368823,-68.070145
ACAD4003,44.37166,-68.21784
ACAD4103,44.40089,-68.25887
ACAD3607,44.401175,-68.263248
ACAD3606,44.401231,-68.266412
ACAD3205,44.401308,-68.245
ACAD3204,44.401383,-68.248214
ACAD3201,44.40357,-68.248136
ACAD4101,44.40614,-68.25396
ACAD4102,44.40875,-68.25436
KAWW5016,45.88775,-68.713948
KAWW5015,45.88904,-68.711567
KAWW5005,45.89192,-68.714
KAWW5006,45.89278,-68.717
KAWW5001,45.93411,-68.72002
KAWW5002,45.93652,-68.72246
KAWW5003,45.93828,-68.721
KAWW5004,45.93972,-68.724
KAWW5103,46.02302,-68.81257
KAWW5104,46.02501,-68.80099
KAWW5106,46.02983,-68.787919
KAWW5105,46.03159,-68.80134
KAWW5403,46.0345,-68.601
KAWW5404,46.03529,-68.598
KAWW5402,46.03612,-68.601
KAWW5401,46.03767,-68.6
KAWW5208,46.04217,-68.579929
KAWW5210,46.04385,-68.58283
KAWW5207,46.04587,-68.577451
KAWW5209,46.04696,-68.580348
KAWW5312,46.10211,-68.8102
KAWW5311,46.1028,-68.80745
KAWW5313,46.10437,-68.80957
KAWW5314,46.105,-68.80731
