"common_name","site_year","t_value","slope","pearson","r_sq"
"Hermit Thrush","Acadia National Park - 2022",2.74223061475038,0.0114600733646154,0.4963784618003,0.213625993745285
"Hermit Thrush","Acadia National Park - 2023",1.61520194685916,0.00291753592451124,0.266952273596498,0.0439477374482907
"Hermit Thrush","Hubbard Brook Experimental Forest - 2022",3.25132432866961,0.0128652097537337,0.54514443823718,0.269069756882568
"Hermit Thrush","Hubbard Brook Experimental Forest - 2023",2.98860927258132,0.00707319838974883,0.638163771765825,0.36165707648626
"Hermit Thrush","Katahdin Woods and Waters - 2022",2.80911001398511,0.00641809986682905,0.522620831016084,0.238519796488701
"Hermit Thrush","Katahdin Woods and Waters - 2023",1.8111626317894,0.01034715769913,0.412477669624326,0.118271442184885
"Hermit Thrush","Marsh-Billings-Rockefeller NHP - 2022",1.39178358447365,0.00915766738660908,0.263318484916292,0.0335418792870196
"Hermit Thrush","Marsh-Billings-Rockefeller NHP - 2023",0.196752228514675,0.00175234708468784,0.0439526196023848,-0.0479715755915926
"Brown Creeper","Acadia National Park - 2022",-0.534933496945037,-0.00845147219193021,-0.159230702365438,-0.0632497273718646
"Brown Creeper","Acadia National Park - 2023",-0.138179372755004,-0.00423402617398,-0.0460110104973798,-0.108758874347789
"Brown Creeper","Hubbard Brook Experimental Forest - 2022",2.5032398260663,0.0676202860858257,0.585704068826815,0.288303360926977
"Brown Creeper","Marsh-Billings-Rockefeller NHP - 2022",1.58805087201166,0.0180539273153576,0.489572720687965,0.144641629947043
"American Crow","Acadia National Park - 2022",1.33298802986296,0.0227616625350118,0.316154056835821,0.0437004743821064
"American Crow","Acadia National Park - 2023",-0.347680307008602,-0.00704517198508081,-0.0959839424657037,-0.0670014737724898
"American Crow","Marsh-Billings-Rockefeller NHP - 2022",2.63451069039361,0.035802084561114,0.406801367772883,0.141644134331085
"Yellow-rumped Warbler","Acadia National Park - 2022",2.67290981924716,0.0845953801437969,0.568004645558465,0.277471229201064
"Yellow-rumped Warbler","Acadia National Park - 2023",2.26446298492924,0.034643995749203,0.419576773721936,0.141713196923864
"Yellow-rumped Warbler","Hubbard Brook Experimental Forest - 2022",1.73719311366331,0.0399148483235764,0.388275057976432,0.100802080684637
"Yellow-rumped Warbler","Hubbard Brook Experimental Forest - 2023",0.827876145740012,0.0153544009998215,0.191520124122814,-0.0168378221702032
"Yellow-rumped Warbler","Katahdin Woods and Waters - 2023",-0.284622757740023,-0.00779290576854174,-0.0944501262058678,-0.101199081844106
"Black-throated Green Warbler","Acadia National Park - 2022",1.44102986841054,0.00835657033519618,0.233530758269046,0.0282737432537631
"Black-throated Green Warbler","Acadia National Park - 2023",4.83630086537278,0.0241280390347986,0.549757839716309,0.289312083854164
"Black-throated Green Warbler","Hubbard Brook Experimental Forest - 2022",3.00024512430573,0.022568382679186,0.437623882157379,0.170238732293298
"Black-throated Green Warbler","Hubbard Brook Experimental Forest - 2023",1.43312410614284,0.0112865445878365,0.232318893446824,0.0276935145927002
"Black-throated Green Warbler","Katahdin Woods and Waters - 2022",1.60519134869172,0.0160821979003797,0.406714755928058,0.101218192127283
"Black-throated Green Warbler","Katahdin Woods and Waters - 2023",0.885833115322435,0.00690272274063659,0.204385356194997,-0.0114614387382133
"Black-throated Green Warbler","Marsh-Billings-Rockefeller NHP - 2023",2.19766515776376,0.0166825642859982,0.441037487668683,0.154239768805559
"Black-throated Green Warbler","Marsh-Billings-Rockefeller NHP - 2022",1.14170771495147,0.00888710379978843,0.200876979503414,0.00939515963294468
"Red-breasted Nuthatch","Acadia National Park - 2022",-0.0567776331944774,-0.0012318175861617,-0.0111343197422807,-0.0383327971901797
"Red-breasted Nuthatch","Acadia National Park - 2023",0.671066893980853,0.0209869540555871,0.128083156861552,-0.020024138444245
"Red-breasted Nuthatch","Hubbard Brook Experimental Forest - 2023",2.01230802962286,0.0942720763723151,0.557056775734937,0.233680279324671
"Red-breasted Nuthatch","Hubbard Brook Experimental Forest - 2022",-0.0982381559991719,-0.00688863375430539,-0.0262462068770049,-0.0706905035263243
"Red-breasted Nuthatch","Katahdin Woods and Waters - 2022",1.02595979471737,0.112944162436548,0.323587160734502,0.00523183399135185
"Red-breasted Nuthatch","Katahdin Woods and Waters - 2023",-0.417790395964022,-0.00350121195798546,-0.095410434915486,-0.0430493146413029
"Red-breasted Nuthatch","Marsh-Billings-Rockefeller NHP - 2022",1.77837196193052,0.0164869548474054,0.396049310735852,0.10725829515401
"Winter Wren","Acadia National Park - 2022",1.38993863111482,0.0106635307249208,0.337786587591414,0.0550397640070958
"Winter Wren","Acadia National Park - 2023",3.18943209117551,0.0378983634797588,0.728407227254524,0.478418987462915
"Winter Wren","Hubbard Brook Experimental Forest - 2022",0.0196928636777119,0.000258531540847976,0.00546173620797788,-0.0768909517020246
"Winter Wren","Hubbard Brook Experimental Forest - 2023",-0.283440650671962,-0.00196280991735538,-0.0648887036006423,-0.048199427521082
"Winter Wren","Katahdin Woods and Waters - 2022",0.0606953351232374,0.00102677513624517,0.0214541023897827,-0.12448218667698
"Winter Wren","Katahdin Woods and Waters - 2023",-1.49270776836156,-0.0117209834190966,-0.370544125069746,0.0756817306682537
"Winter Wren","Marsh-Billings-Rockefeller NHP - 2023",1.36932206796801,0.00766494297135732,0.381620120611832,0.0679642724972245
"Blue-headed Vireo","Acadia National Park - 2022",0.0828456979820881,0.000762227397840356,0.0221360187744564,-0.0709035678637324
"Blue-headed Vireo","Acadia National Park - 2023",-0.541821352895722,-0.00297499768782563,-0.148605641490172,-0.0531406989570862
"Blue-headed Vireo","Marsh-Billings-Rockefeller NHP - 2022",-0.212313202324323,-0.00299612266478675,-0.054736849240587,-0.0634708024908941
"Golden-crowned Kinglet","Acadia National Park - 2022",-0.288967001060061,-0.00322123437701328,-0.0629327742126333,-0.0434699166884687
"Golden-crowned Kinglet","Acadia National Park - 2023",0.825064197159713,0.007420183744588,0.151443432978663,-0.0107567792492798
"Golden-crowned Kinglet","Hubbard Brook Experimental Forest - 2023",1.25622369931033,0.0299546632124352,0.283910682351795,0.0295277908619876
"Golden-crowned Kinglet","Katahdin Woods and Waters - 2023",1.60597881829848,0.014232122264878,0.311507940926924,0.0594137471463875
"Red Crossbill","Acadia National Park - 2022",0.77038935901544,0.166666666666667,0.17866097683054,-0.0218624917667325
"Black-capped Chickadee","Acadia National Park - 2022",3.1178077677379,0.0225114966028309,0.488586634417957,0.214159379955475
"Black-capped Chickadee","Acadia National Park - 2023",1.94131148578005,0.0265032258064516,0.35580771461907,0.0930067886202319
"Black-capped Chickadee","Hubbard Brook Experimental Forest - 2022",4.78012992080075,0.112444212600707,0.663845199865593,0.421403913156472
"Black-capped Chickadee","Hubbard Brook Experimental Forest - 2023",-0.0950227694083435,-0.00253682177880429,-0.0223914661354026,-0.0550263234801018
"Black-capped Chickadee","Katahdin Woods and Waters - 2023",3.59219824161671,0.0168010922606255,0.616929506632692,0.351106874066155
"Black-capped Chickadee","Marsh-Billings-Rockefeller NHP - 2022",3.1617999250939,0.0474187446556742,0.442753661009242,0.176421799564821
"Black-capped Chickadee","Marsh-Billings-Rockefeller NHP - 2023",-0.0326635485633095,-0.00078988941548181,-0.00640571747649447,-0.0384189270445194
"Black-and-white Warbler","Acadia National Park - 2022",1.95864320023855,0.0458839406207827,0.624510604615048,0.288349077822762
"Black-and-white Warbler","Acadia National Park - 2023",0.723440412157913,0.0132468607699738,0.21311454280315,-0.0413623908863316
"Black-and-white Warbler","Hubbard Brook Experimental Forest - 2023",0.804679798767225,0.0260521042084169,0.290979962673299,-0.0460921843687374
"Black-and-white Warbler","Katahdin Woods and Waters - 2023",0.254861210833892,0.00234672924611323,0.0803337128907371,-0.0929011440305076
"Black-and-white Warbler","Marsh-Billings-Rockefeller NHP - 2023",-0.371605434733179,-0.00434101049077536,-0.0988295178792477,-0.0609636354240237
"Black-and-white Warbler","Marsh-Billings-Rockefeller NHP - 2022",-0.335228056944622,-0.00532284193473734,-0.0729578092786326,-0.0420427370207515
"Ovenbird","Acadia National Park - 2022",-1.18927515778573,-0.0213368666331612,-0.240690826455926,0.0169725988939513
"Ovenbird","Acadia National Park - 2023",2.53026145778808,0.0166752864105819,0.336912628010552,0.0957803212912365
"Ovenbird","Hubbard Brook Experimental Forest - 2022",3.16247953967201,0.0296730036715076,0.466275698381337,0.195674499870476
"Ovenbird","Hubbard Brook Experimental Forest - 2023",4.7232296532827,0.0320823395726934,0.580033605455515,0.321358051263581
"Ovenbird","Katahdin Woods and Waters - 2022",3.5954612708744,0.0481700453305479,0.668498368722449,0.412320698296111
"Ovenbird","Katahdin Woods and Waters - 2023",6.07180142852133,0.0571304938129474,0.711299974137116,0.492223976907669
"Ovenbird","Marsh-Billings-Rockefeller NHP - 2022",4.76313171264786,0.0258690062903947,0.523808884774214,0.262282010231213
"Ovenbird","Marsh-Billings-Rockefeller NHP - 2023",2.8695928115803,0.03439500174044,0.417532537932273,0.1531624822894
